task_type,sleep_hours,energy_level,day_of_week,hour_of_day,description_len,minutes
meeting,6.1,5,0,10,58,54
planning,3.4,9,4,19,68,67
admin,6.4,9,0,10,147,39
admin,8.4,2,3,19,39,32
programming,7.8,2,4,10,94,103
programming,7.6,3,3,9,30,96
programming,6.6,7,4,14,43,125
creative,5.1,3,1,10,82,101
admin,7.8,1,1,14,107,47
admin,5.7,6,1,15,187,62
programming,10.0,3,1,7,85,118
planning,7.9,1,4,21,184,76
creative,6.1,4,0,10,94,96
programming,6.1,1,2,12,93,152
programming,6.9,1,6,14,143,145
programming,6.6,2,5,20,187,175
programming,8.7,10,2,12,118,110
meeting,7.3,8,1,18,72,63
meeting,5.9,2,0,12,21,64
programming,9.8,2,3,16,178,145
admin,7.1,10,0,10,168,53
programming,8.2,10,3,15,11,84
programming,6.1,8,2,13,153,122
meeting,7.5,6,0,20,138,91
meeting,7.5,4,0,17,141,65
creative,4.2,3,5,12,56,94
programming,10.0,1,2,7,61,115
meeting,8.9,3,0,8,56,50
admin,6.4,9,3,18,108,44
programming,5.3,5,6,12,59,119
admin,7.5,6,0,17,54,25
programming,7.1,5,3,21,51,146
programming,7.5,1,1,7,193,127
planning,7.3,10,0,21,80,47
planning,7.8,1,3,21,66,53
creative,9.2,4,6,17,42,60
programming,7.9,3,2,11,165,136
programming,5.4,8,1,7,123,149
admin,9.0,7,0,19,53,24
meeting,9.5,7,5,9,123,72
programming,10.0,8,3,18,65,106
meeting,5.3,10,6,18,53,77
programming,7.4,7,5,18,105,113
planning,3.9,10,0,13,82,58
programming,7.8,2,3,11,43,111
admin,6.2,4,0,21,23,44
programming,9.9,6,1,18,166,121
meeting,5.8,3,6,21,134,89
meeting,4.5,3,6,16,88,73
programming,6.3,6,1,7,154,115
planning,4.0,1,0,7,92,70
creative,8.1,1,0,21,146,118
planning,3.9,5,4,14,36,49
creative,7.0,1,0,17,186,111
admin,3.9,10,6,20,174,55
planning,6.5,8,0,19,165,66
programming,9.5,2,5,15,59,119
programming,7.5,6,5,13,64,98
programming,5.7,10,1,19,141,132
programming,7.0,10,5,9,107,100
meeting,7.0,5,0,18,156,75
programming,7.7,10,2,12,46,91
creative,4.9,4,0,9,141,92
meeting,7.9,1,6,16,46,76
programming,3.0,3,4,10,188,152
meeting,6.1,4,3,18,169,80
programming,6.3,2,6,10,182,132
creative,7.9,2,1,9,121,81
programming,7.0,2,5,16,21,130
planning,4.9,1,2,12,178,88
creative,5.5,10,6,11,65,74
programming,7.3,2,3,17,89,120
programming,6.9,6,2,15,23,88
creative,6.1,3,1,15,63,80
admin,6.3,10,5,9,74,18
admin,8.0,5,4,19,125,48
creative,6.2,1,6,15,67,105
programming,6.9,8,6,19,105,114
meeting,10.0,4,6,18,30,56
programming,4.9,9,1,9,13,93
creative,4.2,4,2,10,82,71
admin,8.2,2,2,7,136,48
programming,6.0,3,1,11,55,114
programming,6.5,5,6,18,21,118
programming,5.8,10,0,15,137,147
programming,6.6,6,1,21,39,130
admin,9.4,7,5,8,103,46
admin,8.2,4,5,10,69,33
creative,8.3,7,4,16,109,80
meeting,4.9,10,1,8,80,70
programming,5.3,3,3,20,90,166
admin,3.0,7,5,14,151,54
creative,5.8,4,5,15,120,109
admin,8.4,8,5,9,53,29
creative,7.8,9,0,19,117,96
meeting,6.7,7,3,21,111,75
meeting,7.0,8,6,15,163,55
meeting,6.0,8,6,12,100,67
programming,7.3,2,1,12,118,124
programming,8.1,9,0,13,25,83
programming,4.6,6,5,18,119,146
admin,7.4,4,6,11,16,11
programming,8.4,5,3,12,169,125
meeting,6.4,10,6,17,98,85
planning,8.1,5,3,7,104,40
programming,10.0,7,0,9,25,82
meeting,6.8,9,6,18,114,81
creative,7.6,7,5,15,131,82
